Clase,Mensaje
Negativo,"@fibertel buenas tardes, el día de ayer estuve prácticamente todo el día sin internet, soy d Ramos Mejía, les paso mi número de cliente?"
Positivo,@DNDConsumidor @fibertel Gracias!!
Negativo,@vwargentina Ya envíe mi datos por mensaje privado y nada
Negativo,@vwargentina Se me rompió el sistema de embrague con menos de 1 año y medio de uso todo en ciudad . La garantía es sólo es para los primeros 6 meses. Menos mal que no la use en el campo. Me duraba 2 días!
Negativo,@vwargentina @gbruno2201 Lo mismo me pasa a mi. No dan respuesta! Saludos
Positivo,Te llevamos a visitar la planta de  @vwargentina en Pacheco. Ingresa a nuestro grupo en Facebook y entérate! https://t.co/YyK2AhIyPP https://t.co/83Sskrwr6V
Positivo,#Volkswagen anuncia nuevas #financiaciones y #beneficios durante octubre @vwargentina - Combustible gratis hasta fin de año y financiación a tasa 0% a 24 meses. Léelo en la web de @InfoAutoAr (https://t.co/nZamTgTBaL) https://t.co/M7GsAj6KeL
Negativo,"No solo eso, habiendo pagado, mas o menos 75/80 mil pesos. Finalmente les retire el auto, lo hice todo con plata de mi bolsillo por el 20% del valor que te pasan ellos y con repuestos originales. @vwargentina  @carone No hagan services oficiales!! Te roban la plata!! https://t.co/dNtCLad4O7"
Negativo,"Les recuerdo a todos los que no vieron mi Tweet de la semana pasada, que @vwargentina  ni @CARONE  cumplen con las garantías de los autos que venden. Aviso, a mi, con el 100% de los services cumplidos al pie de la letra no me cumplieron y te llenan de excusas."
Negativo,"@vwargentina 4) Ahora (50.000km aprox) tengo colgando una de las patas de la caja , se salió el tornillo entero"
Negativo,"@vwargentina  GOL POWER 2013  1) Entre los 25.000 y 30.000km , se gastaron las 4 cubiertas  2) Menos 30.000km, se fisuró 5 o 6 veces el multiple de escape (brida a la salida y en el cuerpo mismo)  3) Menos 40.000km, cambio 4 amortiguadores nuevos."
Negativo,@vwargentina GOL POWER 2013 - todos los problemas juntos en menos de 60.000KM!!!!
Positivo,@DiegoDaorden @vwargentina No tengo dudas!! Polo también es un caño. Un fierrito.
Positivo,"@NinaPergolesi @vwargentina Polo... Tengo un 1.9D que lo amo, y mi bolsillo más"
Positivo,"@DiegoDaorden @vwargentina Siempre ganó por goleada diego. 💪🏻como me gustaría verlos con un equipo oficial. Autos nobles si los hay, gol, voyage etc."
Negativo,"@vwargentina DECEPCIONADA CON LA MARCA, NUNCA MAS!NO RECOMIENDO LA MARCA NO AYUDAN CUANDO LAS COSAS LES SALEN MAL pero cuando tienen que vender son los primeros..NO RECOMIENDO LA MARCA. A las Suran HIGHLINE No le anda la bateria,las cambian y siguen sin funcionar y NO SOLUCIONAN"
Positivo,Muy bien @vwargentina Calidad asegurada dando fe por expericiencia https://t.co/xuoCIZg32r
Positivo,@cristianre78 @lauraviajera @vwargentina Yo tengo un Polo gasolero y zafó del escándalo... no se metan con el 1.9. Cañón!!!
Positivo,"#Volkswagenfest Más beneficios en Octubre, financiación a tasa 0, combustible gratis, beneficios en seguros y postventa, entre otros @vwargentina @VWAmarokArg https://t.co/kghNFZMtpN https://t.co/EW1zSMFBea"
Positivo,"@lauraviajera @DiegoDaorden @vwargentina Y, digamos la verdad, el Volkswagen es un caño. Yo tengo un Gol y no te deja tirado jamás."
Negativo,"Si hacemos una competencia de ineficiencia, en el podio habría un empate entre @vwargentina y @BNPPCardifARG entre ambos no se pueden pasar UN MAIL hace casi dos meses! Felicitaciones! Tienen mi dirección para buscar el premio!! 😡😡"
Positivo,Oktober Fest en VW !!  @vwargentina superó las 100.000 ventas en la Argentina y lo festeja en octubre con más beneficios exclusivos. 101.722 unidades patentadas en lo q va del año es motivo para seguir el VW Fest https://t.co/htgZ8AyQ9h
Positivo,"@DiegoDaorden @vwargentina Ya lo tengo comprobado. Yo soy hiperfanatico de Renault, desde el Torino para aca, pero hace por lo menos 15  años estoy con la VW en varios modelos y versiones. Funcionan a pasto y agua"
Positivo,"Desde hace unos días, cuando vamos al colegio con mis hijos, empezamos a jugar a decir y contar las marcas de los autos que vemos. @vwargentina gana por afano, mal. Por cada 10 autos, seis son VW. Hagan la prueba con los suyos... ¡¡¡Y la marca no está en el automovilismo!!! https://t.co/ZIoMWYpdzr"
Positivo,"Continúa durante octubre la campaña de beneficios exclusivos @vwargentina . Tasa 0%, seguros, posventa, combustible gratis etc. ""VolkswagenFest"" @Mitreylosautos @MartinMassimino @sorroconese @mgq @tomasamorena https://t.co/CJ9IOMJzzw"
Positivo,Volkswagen Argentina ya superó las 100.000 unidades vendidas en el año y continúa con el VW Fest https://t.co/XpA9hP0e6A @vwargentina @tomasamorena https://t.co/29oHgXSlkC
Negativo,Y estoy pagando 3 lucas de seguro como si tuviera una ferrari la concha bien de tu madre @vwargentina hijos de mil puta atiendanme el teléfono
Negativo,"Fui, compre el Auto, vento 1.4 en car one pilar a @vwargentina hice 7 services oficiales, valor mas /menos por los 7 seran 75/80 lucas, a la primera que tenian que poner ellos, te llenan de excusas y te quieren cobrar un dineral! Y la gtia.? No hagan services oficial Chantas mal!"
Positivo,I am intuitive: Volkswagen destaca la tecnología y conectividad del T-Cross con un nuevo teaser https://t.co/8vxtfPbM0m @vwargentina @tomasamorena https://t.co/VbeQamuR5M
Negativo,"@vwargentina Por que no existe un servicio postventa y service oficial en la zona de Tartagal, pcia. de Salta?? Hay que hacer 400 km para hacer un service"
Negativo,"@vwargentina hola. Necesito resolver un problema. El seguro de desempleo me esta pagando la cuota del auto, pero no el seguro. Desde haimovich parana me dicen q necesito unos cupones en blanco para poder pagar. Yo no tengo esos cupones y hasta la fecha no me han resuelto. Gracias"
Negativo,@vwargentina y @EscobarVW NO se hacen cargo de las garantias de los 0km. Ojo al piojo.
Negativo,@espasa @vwargentina x dm me dijeron 72 hs para responderme. hoy 1 semana y nada. seguiré esperando a que respindan. gracias por v/atencion.
Positivo,@VW_es Una pedazo de máquina de @VW_es  @VW  @vwargentina
Negativo,@vwargentina la concha de tu madre
Positivo,"@mperezpelaez @ElReflector1 @MonitaPrensa ahí estaremos !!!! @Burgwagen @RevistaCentral1 @vwargentina @MonitaPrensa , sin dudas uno de los lanzamientos del año !!!"
Negativo,"@vwargentina La mejor marca, la peor atención. No atienden nunca los teléfonos de autoahorro hasta 90 min de espera...y la pagina web hace mas de una semana que no funciona el estado de cuenta, no me permite cancelar el plan.. Después se quejan que no venden"
Negativo,"@vwargentina La mejor marca, la peor atención. No atienden nunca los teléfonos de autoahorro hasta 90 min de espera...y la pagina web hace mas de una semana que no funciona el estado de cuenta, no me permite cancelar el plan.. Después se quejan que no venden"
Positivo,Hoy socios de #Aapresid disfrutaron del test drive de la Amarok V6 Comfortline Gracias @vwargentina por dejarnos formar parte de este jornada! #ExperienciaAmarok https://t.co/gyrsIHkKYb
Negativo,@vwargentina Horrible y trisitismo el mensaje de esta publicidad. #NuevoVento #VW
Negativo,@vwargentina  Cumplan con la garantía de sus vehiculos!! Hacer los services oficiales no sirve de nada!! Siempre la dibujan y cobran mas del doble que un taller normal. El día que pasa algo se hacen los giles y siempre tienen excusas. Me pasó en Car One de Panamericana!
Positivo,"*se portó y nos trajo de vuelta a casa. Los felicito por el equipamiento y estabilidad de la Camioneta, nos trajo De Gral Acha a Merlo Bs As. Más de 700 km. Grande @vwargentina"
Positivo,@HorizonteA @juancarlosgrasa @VWAmarokArg @carolina_jalon @vwargentina Muy linda invitación!
Positivo,Volkswagen Argentina brinda una serie de oportunidades y beneficios a su clientela para toda su gama de productos en el mes de octubre. cc @vwargentina https://t.co/4ByHON0NcZ https://t.co/0Eq6N9Lr5f
Negativo,@vwargentina No atienden al 0810. Por mails no contestan.  Como me comunico para recibir respuesta?
Negativo,Dejen de aumentar el auto hijos de puta @vwargentina
Negativo,Pasan los años y cada vez odio mas a @vwargentina y la incompetencia con la que se manejan. Sumamente insatisfecha. #LoDije
Negativo,@vwargentina #sonunavwerguenza complices de la agencia ALRA S.A.  mentiras 24 x 7 se lavan las manos.
Negativo,"Sigo esperando respuesta de @vwargentina No le recomiendo a nadie que se meta en un Plan. Una vez que estás adentro, destrato total con los clientes. @DNDConsumidor"
Positivo,[INFORME] @vwargentina se quedó con el N°1 en ventas en el mes de septiembre ►https://t.co/fmQ0Ikv8xL https://t.co/qg9NRMBD6b
Negativo,"@vwargentina 14:03 te envié el mensaje privado como me pediste, sigo sin respuesta.."
Negativo,"@vwargentina les mandé DM,mail,por teléfono NO solucionan el problema y la web desactualizada. DESASTRE. Necesito una respuesta urgente HOY"
Negativo,@gascampana @SebaFernandezB @vwargentina A nadie le importa un cuerno. La Pxma vez no compres esa marca de auto. Quien no tiene posventa no se le compra nada. Son unos turros
Negativo,Tan difícil es conseguir el repuesto de un broche de cinturón de seguridad @vwargentina ? Hace una semana que me vienen dando vueltas... “nada satisfactoriamente” sería mi respuesta a la consulta sobre mi experiencia. https://t.co/IFLuacpbuw
Positivo,Promociones: combustibles gratis y otros beneficios de @vwargentina   https://t.co/1Vw6tvWLZe
Negativo,@Apple estafa
Negativo,@Apple Bienvenido al consumismo mejor dicho.
Positivo,@shakesporrillo @Apple Los nuestros también vienen con garantía larga y puedes conseguirlos a ese precio ;)
Positivo,La fotografía nocturna del @Apple Iphone XS Max es una pasada! Brutal el cambio en este aspecto concreto 🔝🔝🔝 https://t.co/TDS8cqmGpF
Negativo,@Apple Bajarlo de precio! Estamos locos!? Ni con el nuevo sueldo mínimo!! 😂😂😂 https://t.co/hdSe9RTJNt
Positivo,"@CertidealES @Apple Mejor comprar uno nuevo de 200 euros que viene con garantía y te va a servir para lo mismo (llamar, que te llamen y mandar whatsapp) y te ahorras un dinerito. 😏"
Positivo,@omargcasanova @WhatsApp @Apple Si te van a leer
Positivo,"@Apple te amo, pero qpd con qué estás sacando Software cada 3 días? 🙃"
Negativo,"Mucho cuidado! Circula un correo fake de la Apple Store; indicando una supuesta compra y que pide confirmar o cancelar abriendo un PDF adjunto, es #Pishing ya que abre una web fraudulenta para gestionar el Apple ID @Apple @AppStore https://t.co/SSWtlFTv9x"
Negativo,A veces me da la impresión de que @Apple hace al fregadazo sus actualizaciones de iOS y luego vienen los parches de “x” correciones de errores. 😑
Negativo,"Supongamos que se quedan sin espacio en su iPhone o Macbook, se compran espacio en iCloud. Proceden a borrar las cosas de sus dispositivos asumiendo que ya están resguardados en la nube, no, se borra también de iCloud y pierden su información. Son unos putos genios, @Apple. Bravo"
Negativo,La cámara frontal del iPhone X’s está UNA MIERDA. Se devolvieron al iPhone 6 otra vez @Apple
Negativo,Mil y un fallas con el #iPhoneXS o el #IOS12 o de ambos pero de verdad se tienen que corregir varias cosas!! @MxApple @Apple y eso para aplicaciones nativas!! Pues qué pasó??
Negativo,"Una vez más  @Apple decepcionando, no puede ser que inviertan más de 5 millones de pesos en un teléfono que no carga, o que cada semana o cada 15 días tengan que actualizar el iOS de los dispositivos no por el avance tecnológico, sino, para corregir errores. ¡Vergonzoso! 😡"
Positivo,"Tan bueno es el servicio al cliente de @apple que te da la opción de elegir el tipo de música que prefieras en lo que esperas a que te atiendan, son pequeños detalles pero hasta eso cuidan."
Negativo,@Apple porque me hacen cargos a mi tarjeta que nunca autorice y que nunca existieron 😡😡😡
Negativo,nose si cpn la plata de mis quince comprarme una csmara o un celular O HACER ALGO CON ESTE PORQUE NO ME CARGA Y NO ES EL CARGDOR ES RL CELULAR @Apple SOS UNA PORONGA
Negativo,hacer las baterias mejores por favor @apple
Negativo,¿Primero los cables y ahora audífonos? @apple debería vender cosas de mejor calidad con esos precios 😒
Positivo,No saben que más hacer para superar a @Apple https://t.co/AgV0UGg8sn
Negativo,"@elcorteingles @Apple No tienen stock y siguen vendiéndolos , desde el 27 de septiembre pedido , primero que el 12/10 y después que se retrasan hasta el 26/10. Un desastre de empresa en canal online."
Negativo,@Omarpy202 A @Apple no gustar esto jajajaj in your face #timcook
Negativo,"Como matas un producto, con otro producto, eso hizo @apple con el XR @MARCIANOPHONE @ProfeJuANTONIO @Apple5x1"
Negativo,"@FlashPCT @mrodriguezott @Apple Eso espero , por que es una pena que tenga muchas opciones desactivadas importantes del iPhone todo por ahorrar batería ."
Positivo,@SamuCastro1425 @mrodriguezott @Apple iOS 12 se enfoca mucho a la estabilidad. Ya viene lo mejor
Negativo,@FlashPCT @mrodriguezott @Apple Confiamos ! Pero yo llevo así desde que salió iOS 11 . Con iOS 10 esto no pasaba ! @Apple
Negativo,"Valiente mierda el soporte tecnico de @Apple Llevo un mes sin un movil el cual estoy pagando, lo enviado dos veces y siguen sin corregirme el fallo! Me informare y pondre las quejas oportunas @AppleSupport"
Positivo,@FlashPCT @mrodriguezott @Apple Ok gracias
Negativo,@mrodriguezott @FlashPCT @Apple Yo pienso que iOS 11 es igual que peor jajajaja
Negativo,Pinche @Apple de mierda de nada sirven las putas alarmas de sus dispositivos si no van a sonar cuando tienen que sonar. 🖕🏻🖕🏻🖕🏻
Negativo,"@ferlajara @Fernando5x1 @Apple Yo tengo un iPhone 7 con menos de un año y ya te digo la batería no me dura nada , tengo muchas opciones desactivadas con el fin de poder ahorrar algo y el modo ahorro activado. @Apple"
Negativo,@Apple Estoy tan arrepentida de haber adquirido Apple Watch serie 3 ya que afecto a mi línea de @telcel y a 3 meses no me dan una solución no se que ya hacer porque sigo pago algo que no me funciona
Positivo,Gracias @apple por estos JAMS 🔥😛💀 https://t.co/vQHm1fX9Ls
Negativo,"Después de instalar Mojave, no puedo acceder a mi sesión. Gracias por el mal día @apple y los que faltan. https://t.co/vev76Qqd0p"
Negativo,"@Apple Esta carisimo, que locura."
Negativo,Cómo le puedo decir a @Apple que no me gustó la interfaz de fotos de icloud de iOS 12? Era mejor la anterior
Negativo,@Apple y su maldicion de los audífonos incómodamente dolorosos y sus cables del diablo🚫
Negativo,Muy mal no poder escuchar música y cargar el celular al mismo tiempo😡😡😡 @apple
Negativo,"Hola @Apple, @iShop_Mixup tengo un inconveniente con la duración de batería del  iPhone XS, al momento de comprarlo me mencionaron que las duraciones de la batería sería de hasta 20 hrs, lamentablemente la duración de batería de mi equipo solo es de 10 hrs, ¿que puedo hacer? https://t.co/vjv7eBtZOI"
Negativo,Estoy odiando el nuevo macOS Mojave. Vive reiniciándose 😳🔫@Apple @AppleMxico
Negativo,"Una tristeza lo que está haciendo #TimCook con .@Apple  Pareciera que solo quiere arrancarte la mayor cantidad de billetes, si por alguna razón quieres ser fiel a #iPhone. Ya de forzarte a reparar tu #MacBookPRO con ellos mejor ni hablamos.  #WorstCEOever  https://t.co/3DtQEZA3Zi"
Negativo,No puede ser que siga fallando whats @WhatsApp @Apple son una mierda
Negativo,Que no os voy a comprar el puto móvil hostia @Apple https://t.co/MqWW5q4Ge2
Negativo,@Apple Dicen que su software y su batería valen pa pura verga
Negativo,Es en serio @Apple? Ya no encuentro fundas para iPhone X!! 😞
Negativo,@maza_sr @MacStoreMx @Apple No sea metiche cabron! Por cierto mismo servicio que iba tardar 3-5 días en la Macstore y 15 mil pesos; me lo hicieron en una hora y por menos de la mitad! Y funcionando perfecto mi MacBook! “Gran servicio” de las Macstore ! Muy acorde al precio de los productos !
Positivo,¿Os he dicho ya que estoy enamorado del Calendario en el modo oscuro de #macOS #Mojave? Pues eso. Gracias @apple ❤️❤️❤️ https://t.co/HaD9LHRmFA
Positivo,@Apple me encantan los iPhone
Positivo,"@MacStoreMx @AlexdelPaso @Apple Amigos de Mac, no caigan, mi amigo Alejandro se queja de todo todo el tiempo seguro solo quiere cosas gratis!!!!!"
Positivo,Acabo de experimentar algo y la  respuesta fue muy acertada. Muy bien Siri muy bien @Apple  Hasta ella lo sabe 😂 https://t.co/geSXSl5xiF
Negativo,@Abrakhadaver Acabo de mirar en la web de @apple y no encuentro la carcasa con batería el iPhone Xs 🤦🏻‍♂️
Negativo,"@Apple Habré visto ya este anuncio como 30000000 millones de veces cada pocos tuits, de tanto verlo le he cogido un asco bestial a los nuevos terminales de Apple. Os habéis pasado de rosca, el exceso de publicidad ejerce el efecto contrario al deseado."
Positivo,"@CarlosBeneyto @Apple A mi me ha ido finísimo el Air, el mejor portatil que he tenido, sin duda. Pero llevan sin actualizarlo desde 2015, no?"
Positivo,@jberlana @Apple Pues me va estupendamente bien la verdad y no me quería gastar +450€ de la diferencia con el pro. Pero tuve que cambiar forzosamente
Negativo,"@elcorteingles No os fiéis mucho. Yo compre a @elcorteingles un @Apple watch. Compromiso de entrega “antes del 11 de octubre” ayer, me retrasan 15 días el compromiso de entrega, sin más explicación ni compensación. Lo sienten, y puedo anular pedido. Yo quiero el reloj!"
Positivo,@Timely91 @Apple Eso haré. @Apple muchas gracias
Negativo,@Apple Note 9 es mejor
Negativo,"Asi trata a sus clientes .@Apple 🤮  Como ven #iPhoneX 64Gb de remate en $7,999  Muy probablemente esta siguiendo el camino de #BlackBerry y es tan ciego #TimCook que no se ha dado cuenta."
Negativo,TENER QUE FORMATEAR UN DISCO DURO EXTERNO PARA CAMBIAR EL FORMATO POR QUE MAC NO ACEPTA NTFS PERO POR QUE @APPLE HACÉIS ESO QUERÉIS MATARME O QUE PASA
Negativo,@Apple cómo la cagaron con la entrada de los auriculares y cargador igual! No puedo escuchar música y cargar el celular al mismo tiempo. Todavía los auriculares inalámbricos salen más caro que un celular nuevo!  #apple #iphone
Positivo,@opinatecno @Apple Esa es la Apple que conozco .la que nos da soluciones en lo que canta un gallo...saludos !!!
Positivo,"@anavictoriaga iPhone por sobre todo !! Y toda la infraestructura de @Apple hace de mi trabajo y vida más fácil,  No me cambiaría por nada !!"
Negativo,"@CompaEVLN @backstreetboys @onedirection @Apple No mames. Neta, estás argumentando mucha pendejada."
Negativo,"¿Alguien más está harto de la cantidad de cables y adaptadores que se necesitan para usar una MacBook? @Apple Y para el celular, o lo cargas o usas audífonos. Hay algo mal ahí ¿no?"
Negativo,"@Apple Dejaros de pantallas de mierda, mi pantalla inrrayable está rayada.... buscad solución a la actualización de iOS que se carga la batería!!!!!"
Negativo,"Súper arrepentido de haber comprado un MacBook de @Apple , esto es para ricos que no les importe o duela el dinero! Un simple error y se va todo al garete! 😞😞😞😞"
Positivo,"@michipanero1801 @PuercoMorado @Apple Cada quien es libre de usar el equipo que prefiera, sin embargo, los que saben donde está la mejor tecnología nos prefieren a nosotros. 😎"
Positivo,@Apple te amo
Negativo,"Las @MacStoreMx abren a las 11 pero servicio cliente no abre hasta las 12, si no llevas el documento te cobran 200 pesos... eso agregando que me quieren cobrar 15mil por repararle una tarjeta flash a mi MacBook (ni lo que vale la computadora)! Que asco de servicio @Apple"
Positivo,#Siri de @Apple la tiene muy clara.  #ColombiaMarica https://t.co/pQi9w8wc5I
Negativo,@Apple que mala la actualización que mandaron 😡
Negativo,@Apple Ahora si se pasaron están carísimos
Positivo,Creo que @Apple no le ha apostado a mejorar su camara!!! Hasta no ver un cambio significativo regresare a #apple. https://t.co/ZQAapxHtqJ
Negativo,Ni un año ha pasado de que compre mi IPhone 7 y ya se descarga rápidamente la pila y se calienta 😡@ServicioTelcel @Telcel @Apple @Profeco
Positivo,@pencil_ilustra @ElGranApagon @Apple 😍 ¡Lucen bien en cualquier sitio!
Negativo,"@OMsjG @Apple Diooooos, odio eso también. Te deja sin poder usarlo un buen rato cada vez que se acaba la batería..."
Negativo,"Lo unico que le falta a los airpods es poder subir y bajar el volumen, ya sabeis @Apple cabrones"
Negativo,"Que desastre actualice mi iPhone y está funcionando muy mal,@apple están perdidos!!!!"
Negativo,"Atención penosa en Apple Puerta del Sol. 40 minutos esperando (y lo que queda) para recoger un pedido online, para el que ellos mismos me han avisado ayer diciendo que ya estaba disponible. Un desastre. @Apple"
Positivo,@cigmx @tuQuejaSuma @Apple @AppleMxico yo lo actualicé y anda Perfecto
Positivo,@Apple Gracias pero yo soy amante de las pantallas más pequeñas. Enamorado de mi SE y esperando nuevo modelo 😊
Negativo,@Google @Apple Aprended a hacer móviles por favor
Negativo,@Apple Podriais ppner una bateria que valga la pena porfavor
Positivo,Original Sin... la Apple I fue la primera computadora vendida por @apple en 1976 y sentó las bases para una de las compañías que cambió definitivamente la industria ~ . . . #apple #applei #computer #personalcomputer #stevejobs #wozniak #history https://t.co/TnmPxhAvVx https://t.co/wnZuBx1819
Negativo,el nuevo teclado con la actualización QUE HORROR @Apple se pueden ir a la caca
Negativo,mira honestamente me cago en vuestro servicio técnico de mierda mamonazos @Apple
Negativo,@Apple otra basura con nombre distinto https://t.co/eZlxFLEmJj
Negativo,"Os puedo asegurar que cada vez que actualizo me sale, el acoso es real @Apple basta ya😩 https://t.co/9RX5Mda8yq"
Positivo,gracias @Apple https://t.co/uRTLYNK3Sy
Negativo,Con la novedad de que el cambio de la pieza dañada de mi MacBook cuesta 15 mil pesos! Y mi compu al día de hoy no vale más de 12-13 mil! @Apple algo no me cuadra! 🤔 creo que es un robo vil y descarado lo que cobran de servicios!
Negativo,Yo también tengo esa falla #iphone7Plus después de actualizarlo al ios12 dejo de funcionar el audio @Apple somos muchos afectados y nos quieren cobrar por el reemplazo!! @AppleMxico necesitamos su ayuda @tuQuejaSuma https://t.co/UaN1TxMAZ5
Negativo,"@samsungmobilemx @Apple y @SamsungMexico ya es lo mismo, ya no sorprenden, sólo agregan memoria ,un nuevo nombre, publicidad y pum 5,000 pesos más. Se siguen fiando de sus ""fieles"" clientes, no se dan cuenta que ya hay mejor competencia, se están tirando a dormir."
Negativo,@Apple menuda castaña los AirPods a los 6 meses la batería de cada auricular dura 2 horas como mucho .. imagínate en medio de una conversación telefónica ... una decepción .. nunca mas
Positivo,"Como usuario @Apple me alegra que @MacCenter abra tienda en @nuestrouraba y con gran expectativa, no veo la hora de estar viendo estos productos ofrecidos al público de la región. Gracias por creer en #Urabá"
Negativo,@Apple la concha de tu madreeeeeeeeeeeee
Negativo,"Tampoco me permiten probar el equipo, por que me lo entregan completamente sin pila ! @Apple @Profeco @iShop_Mixup https://t.co/PCtRBUd9V2"
Positivo,"@anavictoriaga .@anavictoriaga IPHONE, no por qué sea mejor, todos son buenos pero la forma de usarlo es más fácil y el flujo de trabajo en un entorno @Apple es bastante agradable y fluido. A mi me funciona bien, depende de tus necesidades será el equipo pero seguro ese te acomodaría muy bien."
Negativo,"@vodafone_es @apple llevo 5 días sin mi iPhone. Es como si llevara un mes.... decidme que día me lo vais a llevar a la tienda arreglado, porfavor!!!!! NO PUEDO MAAAAASSSSSSSSSSSSSS 👊🏻😥"
Negativo,Solo dejo mis órdenes ahí! Y llevo más de 40 min aquí @Apple @Profeco @iShop_Mixup https://t.co/ApEprtvytj
Negativo,Continuando con mi drama en @Apple llegue y todas las personas de servicio se fueron!
Negativo,@Apple Se perdió la esencia del iPhone.  Parece un Samsung y no es mamada.
Positivo,@Latanace @Apple @el_pais Los de Apple hacen milagros... Crucemos los dedos 🤞🏻🤞🏻🤞🏻🤞🏻
Negativo,"@Apple Mi opinión es que para hacerse 4 fotos, escuchar música, leer los periódicos , visitar alguna que otra página , usar el navegador , wassup y las 4 app de moda aparte de algún q otro juego no hace falta un móvil de 1700 euros"
Negativo,"Que frustracion, nadie sabe nada del @apple watch series 4 con @Telcel..."
Negativo,Tengo la actualización de iOS y sigo con el mismo problema del Bluetooth  @Apple @AppleSupport @Apple5x1
Negativo,@Apple Me estoy deprimiendo
Negativo,#TomaNota  @Apple ya no te dejará reparar tu Mac por tu cuenta 😤  https://t.co/l7lj2wirMC https://t.co/S0to6rusl8
Positivo,"@Apple Excelente propuesta , funcionarios de la Adm pública deben participar"
Negativo,"El notch es el peor invento de la humanidad, gracias @Apple"
Negativo,@Apple Os cuesta 50 hacer uno y luego lo vendeis por 1200 por tener una fruta en la parte trasera
Negativo,PUTA MIERDA de última actualización de #IOS @iPhoneEnEspanol @Apple ahora necesito recargar el móvil 3 VECES al día!!!!!!! Pero que coño hacen los que verifican las actualizaciones?????
Negativo,@Apple Apple siguen mintiendo y robando a sus clientes
Positivo,Condenado. Haciendo lo que amo. @Apple #MacBookPro @iFixit https://t.co/zsYx9tAwkM
Negativo,joder @apple tus putos earpods son más frágiles que gareth bale y ya es decir
Negativo,"IPhone 6 ambas cámaras muertas y linterna muerta, una mierda el IOS 12 @Apple ladrones qls jaja"
Negativo,"@vicopico @Apple Exacto cómo el Xiaomi Mi8, yo ya quiero deshacerme de mi iPhone 7 Plus"
Positivo,@VacteriaViloria @Apple Fierro
Positivo,"Y por eso @Apple se sigue quedando con la mejor (no la mayor) parte del mercado latinoamericano, a pesar de su poca innovación año con año #MadeByGoogle https://t.co/nf9LNy2nzV"
